,h0_dyn,pv,sub,Netzbezug,Eigenverbrauch,Einspeisung,battery_soc,battery_charge,battery_discharge,grid_export,pv_excess,grid_import,eigenverbrauch
2016-10-23 23:00:00,0.3779377860258403,0.0,-0.3779377860258403,0.3779377860258403,0.0,0.0,5.655186144199369,0.0,0.393685193776917,0.0,0.0,0.0,0.3779377860258403
2016-10-24 00:00:00,0.2677940783895034,0.0,-0.2677940783895034,0.2677940783895034,0.0,0.0,5.376233979210303,0.0,0.27895216498906605,0.0,0.0,0.0,0.2677940783895034
2016-10-24 01:00:00,0.1978023459171558,0.0,-0.1978023459171558,0.1978023459171558,0.0,0.0,5.170189868879932,0.0,0.20604411033037062,0.0,0.0,0.0,0.1978023459171558
2016-10-24 02:00:00,0.1782009309222633,0.0,-0.1782009309222633,0.1782009309222633,0.0,0.0,4.984563899169241,0.0,0.18562596971069095,0.0,0.0,0.0,0.1782009309222633
2016-10-24 03:00:00,0.1734823436168385,0.0,-0.1734823436168385,0.1734823436168385,0.0,0.0,4.803853124568367,0.0,0.18071077460087345,0.0,0.0,0.0,0.1734823436168385
2016-10-24 04:00:00,0.1773752672590088,0.0,-0.1773752672590088,0.1773752672590088,0.0,0.0,4.619087221173566,0.0,0.18476590339480084,0.0,0.0,0.0,0.1773752672590088
2016-10-24 05:00:00,0.2119045901339099,0.0,-0.2119045901339099,0.2119045901339099,0.0,0.0,4.39835327311741,0.0,0.22073394805615615,0.0,0.0,0.0,0.2119045901339099
2016-10-24 06:00:00,0.3740765821421188,0.0,-0.3740765821421188,0.3740765821421188,0.0,0.0,4.0086901667193695,0.0,0.3896631063980404,0.0,0.0,0.0,0.3740765821421188
2016-10-24 07:00:00,0.5223662629137277,0.0608999999999999,-0.4614662629137276,0.4614662629137276,0.0,0.0,3.527996142850903,0.0,0.48069402386846644,0.0,0.0,0.0,0.5223662629137277
2016-10-24 08:00:00,0.5536659977736421,0.5445,-0.0091659977736421,0.0091659977736421,0.0,0.0,3.518448228503359,0.0,0.009547914347543887,0.0,0.0,0.0,0.5536659977736421
2016-10-24 09:00:00,0.54771600593419,0.2087,-0.33901600593419,0.33901600593419,0.0,0.0,3.1653065556552447,0.0,0.3531416728481146,0.0,0.0,0.0,0.54771600593419
2016-10-24 10:00:00,0.5319739048641616,0.4172,-0.1147739048641616,0.1147739048641616,0.0,0.0,3.0457504047550765,0.0,0.11955615090016836,0.0,0.0,0.0,0.5319739048641616
2016-10-24 11:00:00,0.5370600930439701,1.2933,0.7562399069560298,0.0,0.5370600930439701,0.7562399069560298,3.7717407154328653,0.7259903106777886,0.0,0.0,0.0,0.0,0.5370600930439701
2016-10-24 12:00:00,0.6029638878298653,0.3868999999999999,-0.2160638878298653,0.2160638878298653,0.0,0.0,3.5466741656100886,0.0,0.22506654982277646,0.0,0.0,0.0,0.6029638878298653
2016-10-24 13:00:00,0.5871405318989504,0.2535,-0.3336405318989504,0.3336405318989504,0.0,0.0,3.1991319448820152,0.0,0.3475422207280734,0.0,0.0,0.0,0.5871405318989504
2016-10-24 14:00:00,0.5111227622325044,0.1286999999999999,-0.3824227622325044,0.3824227622325044,0.0,0.0,2.800774900889823,0.0,0.3983570439921922,0.0,0.0,0.0,0.5111227622325044
2016-10-24 15:00:00,0.4574180108626504,0.107,-0.3504180108626504,0.3504180108626504,0.0,0.0,2.435756139574562,0.0,0.36501876131526084,0.0,0.0,0.0,0.4574180108626504
2016-10-24 16:00:00,0.4280546650610854,0.0,-0.4280546650610854,0.4280546650610854,0.0,0.0,1.989865863469265,0.0,0.4458902761052973,0.0,0.0,0.0,0.4280546650610854
2016-10-24 17:00:00,0.4692296680014063,0.0,-0.4692296680014063,0.4692296680014063,0.0,0.0,1.5010849593011333,0.0,0.4887809041681316,0.0,0.0,0.0,0.4692296680014063
2016-10-24 18:00:00,0.5843661350678165,0.0,-0.5843661350678165,0.5843661350678165,0.0,0.0,1.0,0.0,0.5010849593011333,0.0,0.0,0.10332457413872859,0.48104156092908795
2016-10-24 19:00:00,0.6935677435629732,0.0,-0.6935677435629732,0.6935677435629732,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6935677435629732,0.0
2016-10-24 20:00:00,0.6781850500175468,0.0,-0.6781850500175468,0.6781850500175468,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6781850500175468,0.0
2016-10-24 21:00:00,0.6294596263435709,0.0,-0.6294596263435709,0.6294596263435709,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6294596263435709,0.0
2016-10-24 22:00:00,0.5477341649996179,0.0,-0.5477341649996179,0.5477341649996179,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5477341649996179,0.0
2016-10-24 23:00:00,0.4048524759896377,0.0,-0.4048524759896377,0.4048524759896377,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4048524759896377,0.0
2016-10-25 00:00:00,0.2688696376773807,0.0,-0.2688696376773807,0.2688696376773807,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2688696376773807,0.0
2016-10-25 01:00:00,0.1985967806951267,0.0,-0.1985967806951267,0.1985967806951267,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1985967806951267,0.0
2016-10-25 02:00:00,0.178916629435152,0.0,-0.178916629435152,0.178916629435152,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.178916629435152,0.0
2016-10-25 03:00:00,0.1741790801711423,0.0,-0.1741790801711423,0.1741790801711423,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1741790801711423,0.0
2016-10-25 04:00:00,0.178087627044355,0.0,-0.178087627044355,0.178087627044355,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.178087627044355,0.0
2016-10-25 05:00:00,0.2127556093501097,0.0,-0.2127556093501097,0.2127556093501097,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2127556093501097,0.0
2016-10-25 06:00:00,0.3755788663582353,0.0,-0.3755788663582353,0.3755788663582353,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3755788663582353,0.0
2016-10-25 07:00:00,0.5244640406244782,0.3043,-0.2201640406244781,0.2201640406244781,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.22016404062447814,0.3043
2016-10-25 08:00:00,0.555889433752081,0.796,0.240110566247919,0.0,0.555889433752081,0.240110566247919,1.2305061435980023,0.23050614359800228,0.0,0.0,0.0,0.0,0.555889433752081
2016-10-25 09:00:00,0.5499155081076079,0.4156,-0.1343155081076079,0.1343155081076079,0.0,0.0,1.0905941559859107,0.0,0.13991198761209156,0.0,0.0,0.0,0.5499155081076079
2016-10-25 10:00:00,0.5341101510489303,0.5997,0.0655898489510696,0.0,0.5341101510489303,0.0655898489510696,1.1535604109789377,0.06296625499302688,0.0,0.0,0.0,0.0,0.5341101510489303
2016-10-25 11:00:00,0.5392167229352454,0.5368999999999999,-0.0023167229352454,0.0023167229352454,0.0,0.0,1.1511471579213903,0.0,0.002413253057547323,0.0,0.0,0.0,0.5392167229352454
2016-10-25 12:00:00,0.6053851157153818,0.5011,-0.1042851157153818,0.1042851157153818,0.0,0.0,1.042516829051201,0.0,0.10863032887018938,0.0,0.0,0.0,0.6053851157153818
